iter	Logloss
0	0.5425058343
1	0.4443842333
2	0.3966556191
3	0.3714381235
4	0.3583448904
5	0.3492233782
6	0.3417473205
7	0.3377196347
8	0.3327450958
9	0.3306975641
10	0.3284797134
11	0.3262300305
12	0.3252629296
13	0.3230754529
14	0.3216850835
15	0.3195518985
16	0.3184963018
17	0.3157140507
18	0.3135178101
19	0.3123951828
20	0.3111541973
21	0.3106392968
22	0.3101955661
23	0.3088426546
24	0.3085284897
25	0.3073378117
26	0.30672455
27	0.3064094228
28	0.3055551361
29	0.3045884605
30	0.3040786395
31	0.3033924059
32	0.3030442683
33	0.3018177027
34	0.3012362633
35	0.3007251099
36	0.3004121747
37	0.3000478122
38	0.2992575021
39	0.2984833807
40	0.2980597082
41	0.2976325975
42	0.297098461
43	0.2964779184
44	0.2959469107
45	0.2956251084
46	0.2952576314
47	0.2948190763
48	0.2946020038
49	0.294337997
50	0.2938899731
51	0.2936711756
52	0.2934295128
53	0.2930678845
54	0.2927446621
55	0.2923844767
56	0.2917657192
57	0.2914431754
58	0.2912181662
59	0.2909665204
60	0.2906160252
61	0.290314877
62	0.2900579546
63	0.289851514
64	0.289634362
65	0.289398433
66	0.2892879322
67	0.2890296935
68	0.2889345515
69	0.2888085355
70	0.2886444186
71	0.2885144863
72	0.2882450836
73	0.2880892633
74	0.2878380924
75	0.287623118
76	0.2874147722
77	0.287245408
78	0.2870823035
79	0.286890065
80	0.2867023205
81	0.2866031386
82	0.2862891471
83	0.2861865198
84	0.2860182137
85	0.2858707958
86	0.2856956457
87	0.2855271269
88	0.2853631586
89	0.285180868
90	0.285012209
91	0.2849058361
92	0.2847905701
93	0.2845762852
94	0.2844786123
95	0.2844148096
96	0.284252656
97	0.2841178524
98	0.2840589882
99	0.2838362067
100	0.2837688939
101	0.2836351813
102	0.2835033597
103	0.2832345282
104	0.2830752775
105	0.282941398
106	0.2828572315
107	0.2827460882
108	0.2826602878
109	0.282497149
110	0.282423549
111	0.2823467088
112	0.2822506741
113	0.2821866112
114	0.2821081655
115	0.2820251311
116	0.2819229821
117	0.2818034068
118	0.2817365616
119	0.2816552182
120	0.2816019261
121	0.2815409813
122	0.2814165531
123	0.2813614424
124	0.281285535
125	0.2810016353
126	0.2809523139
127	0.2808459409
128	0.2807745865
129	0.2806210441
130	0.2805727718
131	0.2805067542
132	0.2804074967
133	0.2803196929
134	0.2802140833
135	0.2801423553
136	0.2800399422
137	0.2799621359
138	0.2798625117
139	0.2798080895
140	0.2797233183
141	0.2796430214
142	0.2795499588
143	0.2795047099
144	0.2794571508
145	0.2794018393
146	0.2793168121
147	0.2792484166
148	0.2791866795
149	0.2791395463
150	0.2790431312
151	0.2789797225
152	0.2789096669
153	0.2788508915
154	0.2788141289
155	0.2787842571
156	0.2787050797
157	0.2786548637
158	0.2785027815
159	0.2784035753
160	0.278362225
161	0.2783243018
162	0.2782554551
163	0.278159975
164	0.2781149593
165	0.278047619
166	0.2779867787
167	0.2778896925
168	0.2778418059
169	0.2776754317
170	0.2776138132
171	0.2775666147
172	0.2775146409
173	0.2774343203
174	0.2773837581
175	0.2773013533
176	0.2772526587
177	0.2771826464
178	0.2771428772
179	0.277070399
180	0.2770319521
181	0.2770077035
182	0.2768966254
183	0.276828722
184	0.2767726467
185	0.2767347997
186	0.2766784716
187	0.2766593328
188	0.2766079897
189	0.276555718
190	0.2764624154
191	0.2764192817
192	0.2763635808
193	0.2763096071
194	0.2762607363
195	0.2761242278
196	0.2760919428
197	0.2760477033
198	0.2759950769
199	0.2759547694
200	0.2758887571
201	0.2758150926
202	0.2757681945
203	0.2756321485
204	0.2755860379
205	0.2755219367
206	0.2754565467
207	0.2753870838
208	0.2753516325
209	0.2752182953
210	0.2751420281
211	0.2750817297
212	0.2750259232
213	0.2749668201
214	0.2749104099
215	0.2748476977
216	0.2747700377
217	0.2747063931
218	0.2746352919
219	0.274555237
220	0.2745001383
221	0.2744334614
222	0.274383746
223	0.2743391029
224	0.2743077988
225	0.2742530307
226	0.2742069412
227	0.2741715107
228	0.2741228089
229	0.2740668742
230	0.2739992554
231	0.2739435614
232	0.27387131
233	0.2738101598
234	0.2737553604
235	0.273709971
236	0.2736538119
237	0.2736245808
238	0.2735191022
239	0.2734584343
240	0.2734243516
241	0.2733535044
242	0.2732902815
243	0.2732406775
244	0.273209641
245	0.2731517653
246	0.2731114581
247	0.2730397075
248	0.2729999483
249	0.2729433474
250	0.2728821479
251	0.2728170527
252	0.272762412
253	0.2727336445
254	0.2726729978
255	0.2726295436
256	0.2725775285
257	0.2724623509
258	0.2724084472
259	0.2723751048
260	0.2723417154
261	0.2722739952
262	0.272222026
263	0.2721926391
264	0.2721559285
265	0.2721027381
266	0.2720710488
267	0.2720312239
268	0.2720065471
269	0.271967792
270	0.2719538397
271	0.2718972274
