iter	Passed	Remaining
0	3	3429
1	8	4071
2	11	3803
3	13	3445
4	16	3293
5	17	2980
6	19	2812
7	21	2676
8	23	2570
9	25	2479
10	26	2404
11	28	2348
12	30	2294
13	31	2219
14	32	2151
15	34	2105
16	35	2063
17	37	2026
18	38	1991
19	39	1959
20	41	1944
21	44	1974
22	46	1982
23	48	1979
24	50	1973
25	52	1950
26	53	1936
27	55	1915
28	56	1907
29	58	1900
30	59	1873
31	61	1852
32	62	1834
33	64	1821
34	65	1803
35	66	1788
36	68	1773
37	69	1766
38	71	1755
39	73	1752
40	74	1738
41	75	1727
42	77	1718
43	78	1715
44	80	1708
45	82	1701
46	83	1690
47	84	1681
48	86	1675
49	88	1673
50	89	1662
51	90	1658
52	92	1659
53	93	1644
54	95	1633
55	96	1622
56	97	1613
57	98	1605
58	100	1596
59	101	1589
60	103	1585
61	104	1576
62	105	1568
63	108	1581
64	109	1576
65	111	1576
66	113	1575
67	115	1577
68	116	1571
69	118	1568
70	120	1570
71	121	1570
72	123	1572
73	125	1567
74	126	1564
75	128	1565
76	130	1563
77	131	1557
78	133	1551
79	134	1544
80	135	1538
81	137	1540
82	139	1540
83	141	1538
84	142	1535
85	144	1530
86	145	1525
87	146	1522
88	148	1519
89	150	1520
90	152	1523
91	153	1518
92	155	1515
93	156	1511
94	158	1509
95	161	1516
96	162	1512
97	163	1507
98	165	1506
99	167	1504
100	168	1502
101	170	1497
102	171	1493
103	173	1492
104	174	1488
105	176	1488
106	178	1491
107	181	1498
108	182	1493
109	184	1491
110	185	1489
111	188	1491
112	189	1489
113	191	1488
114	193	1492
115	195	1492
116	197	1489
117	199	1487
118	201	1488
119	202	1486
120	204	1485
121	206	1482
122	207	1482
123	210	1488
124	212	1489
125	215	1496
126	218	1501
127	220	1505
128	222	1503
129	225	1506
130	227	1509
131	230	1513
132	232	1517
133	234	1516
134	236	1513
135	237	1511
136	239	1507
137	241	1505
138	243	1505
139	245	1507
140	247	1507
141	249	1506
142	251	1508
143	253	1504
144	254	1499
145	256	1499
146	257	1496
147	259	1492
148	261	1490
149	262	1488
150	264	1485
151	265	1482
152	267	1481
153	269	1479
154	271	1482
155	274	1485
156	276	1486
157	278	1485
158	281	1489
159	283	1490
160	285	1486
161	287	1486
162	289	1485
163	292	1488
164	294	1491
165	296	1487
166	297	1483
167	299	1482
168	300	1479
169	303	1481
170	305	1482
171	308	1483
172	310	1485
173	312	1481
174	315	1486
175	317	1484
176	320	1488
177	322	1490
178	325	1491
179	326	1487
180	328	1486
181	331	1490
182	334	1491
183	336	1494
184	339	1496
185	342	1500
186	345	1503
187	349	1508
188	352	1510
189	354	1510
190	356	1508
191	359	1512
192	362	1515
193	365	1518
194	368	1521
195	371	1525
196	374	1528
197	378	1534
198	382	1537
199	385	1540
200	386	1535
201	389	1537
202	392	1539
203	395	1541
204	396	1538
205	398	1537
206	401	1537
207	404	1538
208	407	1541
209	410	1544
210	413	1545
211	415	1544
212	418	1545
213	420	1545
214	423	1547
215	426	1548
216	429	1548
217	430	1545
218	433	1545
219	436	1547
220	439	1549
221	442	1550
222	445	1553
223	448	1554
224	451	1556
225	454	1556
226	458	1559
227	460	1559
228	464	1562
229	467	1564
230	470	1565
231	472	1565
232	474	1561
233	476	1558
234	478	1557
235	480	1554
236	481	1551
237	483	1548
238	485	1546
239	487	1542
240	489	1540
241	491	1538
242	493	1536
243	494	1533
244	496	1530
245	498	1527
246	499	1523
247	501	1519
248	503	1517
249	504	1513
250	506	1509
251	507	1506
252	508	1502
253	510	1500
254	512	1497
255	513	1493
256	515	1489
257	517	1487
258	518	1484
259	520	1481
260	522	1479
261	524	1477
262	526	1474
263	529	1474
264	531	1474
265	533	1471
266	534	1467
267	536	1466
268	539	1464
269	540	1462
270	543	1460
271	545	1458
