,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,Married,CarPossesion,NumberOfOffspring,Single,NumberOfFollowups > NumberOfPersonVisiting,ProductPitched_Designation,Income / child,MoneyforOneTrip,AllOfcontact,NumberOfPersonVisiting - NumberOfOffspring,ProdTaken
0,50,1.0,2.0,15,0.0,1.0,1.0,4,4.0,1.0,5,1.0,-1.0,4.0,254,1.0,0.0,0,1,1,4_4,2540000.0,609.6,23,1.0,1
1,56,0.0,1.0,14,2.0,1.0,1.0,4,3.0,1.0,2,1.0,-1.0,3.0,404,3.0,1.0,0,1,1,3_3,4040000.0,2424.0,22,1.0,0
2,36,1.0,1.0,10,0.0,0.0,1.0,3,4.0,1.0,4,0.0,-1.0,4.0,278,2.0,0.0,0,1,1,4_4,2780000.0,834.0,16,1.0,1
3,37,1.0,2.0,18,1.0,0.0,1.0,3,3.0,0.0,1,0.0,-2.0,3.0,327,3.0,1.0,0,1,1,3_3,3270000.0,3924.0,24,1.0,0
4,48,0.0,3.0,17,1.0,0.0,1.0,3,4.0,0.0,4,0.0,-1.0,4.0,258,0.0,1.0,0,0,1,4_4,2580000.0,774.0,23,1.0,1
5,19,1.0,2.0,16,1.0,1.0,1.0,3,4.0,1.0,2,0.0,-1.0,4.0,260,0.0,0.0,0,0,1,4_4,2600000.0,1560.0,22,1.0,0
6,47,0.0,3.0,14,1.0,1.0,1.0,3,1.0,0.0,1,0.0,-1.0,1.0,453,0.0,1.0,0,0,1,1_1,4530000.0,5436.0,20,1.0,0
7,49,1.0,2.0,22,1.0,1.0,1.0,3,4.0,1.0,2,0.0,-1.0,4.0,262,2.0,0.0,0,1,1,4_4,2620000.0,1572.0,28,1.0,0
8,33,0.0,2.0,20,0.0,0.0,1.0,3,4.0,1.0,4,0.0,-1.0,4.0,248,0.0,0.0,0,0,1,4_4,2480000.0,744.0,26,1.0,1
9,31,0.0,1.0,11,0.0,1.0,1.0,3,4.0,1.0,2,0.0,0.0,3.0,258,2.0,1.0,0,1,1,4_3,2580000.0,1548.0,17,1.0,0
10,51,0.0,1.0,14,1.0,0.0,1.0,3,3.0,1.0,4,0.0,0.0,3.0,352,1.0,1.0,0,1,1,3_3,3520000.0,1056.0,20,1.0,0
11,46,1.0,1.0,16,1.0,1.0,1.0,3,1.0,0.0,6,0.0,0.0,1.0,416,3.0,1.0,0,1,1,1_1,4160000.0,832.0,22,1.0,0
12,49,0.0,1.0,32,1.0,0.0,1.0,3,1.0,1.0,4,0.0,0.0,1.0,478,0.0,1.0,0,0,1,1_1,4780000.0,1434.0,38,1.0,0
13,51,1.0,2.0,17,1.0,0.0,1.0,3,1.0,0.0,5,0.0,-1.0,1.0,440,2.0,1.0,0,1,1,1_1,4400000.0,1056.0,23,1.0,0
14,53,0.0,2.0,14,1.0,0.0,1.0,3,4.0,1.0,1,0.0,0.0,4.0,300,0.0,1.0,0,0,1,4_4,3000000.0,3600.0,20,1.0,1
15,20,1.0,1.0,24,1.0,0.0,1.0,3,4.0,1.0,2,0.0,-1.0,4.0,254,0.0,1.0,0,0,1,4_4,2540000.0,1524.0,30,1.0,1
16,25,0.0,2.0,23,1.0,1.0,1.0,3,4.0,1.0,1,0.0,0.0,4.0,259,0.0,0.0,0,0,1,4_4,2590000.0,3108.0,29,1.0,1
17,53,1.0,2.0,35,1.0,1.0,1.0,3,1.0,1.0,4,0.0,0.0,1.0,500,1.0,1.0,0,1,1,1_1,5000000.0,1500.0,41,1.0,1
18,41,0.0,2.0,7,1.0,0.0,1.0,3,3.0,1.0,1,1.0,0.0,3.0,400,2.0,0.0,0,1,1,3_3,4000000.0,4800.0,13,1.0,0
19,44,0.0,2.0,5,1.0,1.0,1.0,3,1.0,1.0,1,1.0,-1.0,1.0,286,2.0,0.0,0,1,1,1_1,2860000.0,3432.0,11,1.0,0
20,30,1.0,1.0,8,2.0,0.0,1.0,3,3.0,1.0,2,0.0,0.0,3.0,455,1.0,0.0,0,1,1,3_3,4550000.0,2730.0,14,1.0,0
21,34,0.0,2.0,16,2.0,0.0,1.0,3,4.0,1.0,2,0.0,-1.0,4.0,264,3.0,1.0,0,1,1,4_4,2640000.0,1584.0,22,1.0,0
22,29,0.0,1.0,8,2.0,0.0,1.0,3,4.0,1.0,1,0.0,0.0,4.0,263,3.0,0.0,0,1,1,4_4,2630000.0,3156.0,14,1.0,1
23,56,0.0,2.0,15,2.0,1.0,1.0,3,1.0,1.0,1,0.0,0.0,1.0,431,2.0,1.0,0,1,1,1_1,4310000.0,5172.0,21,1.0,0
24,32,1.0,2.0,16,2.0,1.0,1.0,3,4.0,1.0,2,0.0,-1.0,4.0,250,3.0,1.0,0,1,1,4_4,2500000.0,1500.0,22,1.0,0
25,41,0.0,2.0,17,2.0,1.0,1.0,3,2.0,1.0,1,0.0,-1.0,2.0,303,2.0,0.0,0,1,1,2_2,3030000.0,3636.0,23,1.0,0
26,35,1.0,1.0,16,2.0,0.0,1.0,3,2.0,1.0,1,0.0,-1.0,2.0,257,0.0,1.0,0,0,1,2_2,2570000.0,3084.0,22,1.0,0
27,40,0.0,1.0,14,2.0,0.0,1.0,3,3.0,1.0,2,0.0,0.0,3.0,369,1.0,1.0,0,1,1,3_3,3690000.0,2214.0,20,1.0,0
28,52,1.0,1.0,17,2.0,0.0,1.0,3,1.0,1.0,4,0.0,0.0,1.0,456,2.0,1.0,0,1,1,1_1,4560000.0,1368.0,23,1.0,0
29,22,1.0,2.0,10,2.0,1.0,1.0,3,4.0,1.0,1,0.0,-1.0,4.0,259,0.0,0.0,0,0,1,4_4,2590000.0,3108.0,16,1.0,1
30,36,0.0,2.0,15,2.0,0.0,1.0,3,2.0,1.0,1,1.0,0.0,2.0,317,2.0,0.0,0,1,1,2_2,3170000.0,3804.0,21,1.0,0
31,52,1.0,3.0,32,2.0,0.0,1.0,3,1.0,1.0,2,1.0,-2.0,1.0,500,3.0,1.0,0,1,1,1_1,5000000.0,3000.0,38,1.0,0
32,46,0.0,3.0,8,2.0,1.0,1.0,3,3.0,1.0,5,1.0,-1.0,3.0,360,1.0,1.0,0,1,1,3_3,3600000.0,864.0,14,1.0,0
33,30,0.0,2.0,15,2.0,0.0,1.0,3,3.0,1.0,2,1.0,0.0,3.0,410,2.0,0.0,0,1,1,3_3,4100000.0,2460.0,21,1.0,0
34,28,1.0,1.0,9,2.0,0.0,1.0,3,4.0,1.0,5,1.0,0.0,4.0,270,0.0,0.0,0,0,1,4_4,2700000.0,648.0,15,1.0,0
35,25,1.0,2.0,14,2.0,1.0,1.0,3,4.0,1.0,2,1.0,-1.0,4.0,255,0.0,1.0,0,0,1,4_4,2550000.0,1530.0,20,1.0,1
36,51,0.0,1.0,26,1.0,0.0,1.0,4,1.0,1.0,1,0.0,1.0,1.0,485,0.0,1.0,0,0,1,1_1,4850000.0,5820.0,34,1.0,0
37,50,1.0,3.0,13,2.0,0.0,1.0,4,3.0,0.0,5,0.0,2.0,3.0,370,1.0,0.0,0,1,1,3_3,3700000.0,888.0,21,1.0,0
38,48,0.0,1.0,12,2.0,0.0,1.0,4,3.0,1.0,2,0.0,2.0,3.0,402,1.0,1.0,0,1,1,3_3,4020000.0,2412.0,20,1.0,0
39,47,0.0,1.0,8,1.0,0.0,1.0,5,3.0,1.0,4,0.0,0.0,3.0,477,2.0,1.0,0,1,1,3_3,4770000.0,1431.0,18,1.0,0
40,38,0.0,2.0,14,2.0,1.0,1.0,3,3.0,1.0,1,0.0,1.0,3.0,378,2.0,0.0,0,1,1,3_3,3780000.0,4536.0,20,1.0,1
41,33,1.0,2.0,14,0.0,0.0,1.0,3,4.0,1.0,2,0.0,1.0,4.0,248,0.0,1.0,0,0,1,4_4,2480000.0,1488.0,20,1.0,1
42,42,0.0,2.0,10,2.0,1.0,1.0,3,2.0,1.0,2,0.0,1.0,2.0,268,2.0,0.0,0,1,1,2_2,2680000.0,1608.0,16,1.0,0
43,36,0.0,2.0,21,2.0,1.0,1.0,3,3.0,1.0,1,0.0,1.0,3.0,363,0.0,0.0,0,0,1,3_3,3630000.0,4356.0,27,1.0,0
44,33,1.0,1.0,16,2.0,0.0,1.0,3,2.0,1.0,1,0.0,2.0,2.0,282,2.0,0.0,0,1,1,2_2,2820000.0,3384.0,22,1.0,0
