ProdTaken,catboost_prediction,fold
1,0.5438434578144131,4.0
0,0.1529978311361976,3.0
1,0.10701383493702753,7.0
0,0.07612180934838736,1.0
1,0.3458055811536717,3.0
0,0.6056806766836563,3.0
0,0.3155115845239233,1.0
0,0.3025450801334166,2.0
1,0.49005207195827033,5.0
0,0.17678860083234116,6.0
0,0.034994894474032534,3.0
0,0.04787045215427019,3.0
0,0.07784020644907098,3.0
0,0.05749608959237687,7.0
1,0.3388857910049232,3.0
1,0.4392450446784083,5.0
1,0.7078792963046966,3.0
1,0.06097840342197714,3.0
0,0.21177721851700965,3.0
0,0.29047207665894575,2.0
0,0.04663864455538734,3.0
0,0.22943037005119585,1.0
1,0.2725212045444392,6.0
0,0.11583323022280351,5.0
0,0.37910415269211245,1.0
0,0.05422450314492459,3.0
0,0.037762745630909804,7.0
0,0.03467871856836999,4.0
0,0.03144920087299936,4.0
1,0.7577893186781242,5.0
0,0.14346516488981492,5.0
0,0.1292768379614876,3.0
0,0.18365951663045993,6.0
0,0.20285887506207312,5.0
0,0.6472385309423615,3.0
1,0.8712995789743339,5.0
0,0.2092253772681207,7.0
0,0.04570702864073618,2.0
0,0.030352521123189535,4.0
0,0.026322883035566076,7.0
1,0.25132170431736006,7.0
1,0.3328435636581544,3.0
0,0.08035317024178013,4.0
0,0.20250566163808836,3.0
0,0.016490656953660785,7.0
0,0.04920195270503169,5.0
0,0.11102225801500198,2.0
0,0.05927417380179952,3.0
1,0.11018093732885205,7.0
0,0.12334540761871099,7.0
0,0.29022838709635446,2.0
0,0.06829060624154754,6.0
0,0.029292674627977,5.0
0,0.08956811631551641,1.0
0,0.012324237017019568,2.0
0,0.05389105518536822,3.0
0,0.38380528165859595,7.0
1,0.21766490160679547,3.0
0,0.10872036425165858,6.0
1,0.9126730128059699,7.0
0,0.3031429450965949,1.0
1,0.8176251423884737,1.0
0,0.11268149403294689,4.0
0,0.09227272326997346,1.0
0,0.05298595779167794,5.0
0,0.051320835906573006,6.0
0,0.07415512145167881,6.0
0,0.036115962345252745,2.0
0,0.5566987969468876,3.0
0,0.2492697900660236,3.0
