ProdTaken,lightgbm_prediction,fold
1,0.555212997873903,4.0
0,0.13936387324068894,3.0
1,0.11701840593517124,7.0
0,0.06752852653474159,1.0
1,0.3637213353768108,3.0
0,0.7279823967688469,3.0
0,0.18148826836386017,1.0
0,0.2223655870728595,2.0
1,0.5461743999015831,5.0
0,0.12316198554619781,6.0
0,0.04428264140702876,3.0
0,0.04723602580434427,3.0
0,0.055128897579452774,3.0
0,0.05204092536445461,7.0
1,0.3278496803362896,3.0
1,0.3525807957064898,5.0
1,0.6886177653702245,3.0
1,0.05682269750441104,3.0
0,0.17446287963090226,3.0
0,0.18192600728867545,2.0
0,0.05857022289048989,3.0
0,0.21663800652582244,1.0
1,0.19593097457597808,6.0
0,0.07940256976602252,5.0
0,0.2512355712117522,1.0
0,0.03749130228126937,3.0
0,0.04811140907266929,7.0
0,0.053830762154188624,4.0
0,0.053830762154188624,4.0
1,0.7210069918368538,5.0
0,0.12175064267273024,5.0
0,0.13166277286202352,3.0
0,0.22476925240425874,6.0
0,0.19381298682141504,5.0
0,0.5398248990699164,3.0
1,0.7214254454349737,5.0
0,0.026426478178688203,7.0
0,0.08801024081288432,2.0
0,0.053830762154188624,4.0
0,0.009545829586718006,7.0
1,0.07514061915493608,7.0
1,0.47370899952888007,3.0
0,0.0872628127298618,4.0
0,0.1830455712264341,3.0
0,0.014582310510535374,7.0
0,0.05145642837681353,5.0
0,0.12091855475129915,2.0
0,0.06750203082676008,3.0
1,0.23133560199915532,7.0
0,0.06432190674636737,7.0
0,0.21994322887175577,2.0
0,0.029838614618726333,6.0
0,0.046437503736288875,5.0
0,0.08394832303339451,1.0
0,0.06306890877906698,2.0
0,0.13488529557574724,3.0
0,0.6059086938316468,7.0
1,0.13815718210952446,3.0
0,0.05591045302151166,6.0
1,0.8095056978622557,7.0
0,0.3150906652567266,1.0
1,0.5820417117848286,1.0
0,0.09962690080152464,4.0
0,0.05774285486303602,1.0
0,0.03725076228263069,5.0
0,0.025121040791450038,6.0
0,0.06437482026376046,6.0
0,0.08167139915866393,2.0
0,0.5437350744457076,3.0
0,0.27786183005527026,3.0
1,0.3649680105516134,1.0
0,0.05697739040445238,4.0
0,0.08720566918296004,2.0
0,0.14937159087894114,7.0
1,0.38774042365313083,7.0
0,0.1864085921541606,2.0
0,0.07629793024166026,6.0
0,0.11382261676876412,3.0
0,0.14325996315539036,4.0
0,0.04307573164967122,1.0
0,0.08374014537685916,3.0
0,0.1332122416290826,5.0
0,0.09297660659821295,2.0
0,0.012042384251746873,7.0
1,0.5182965802372206,6.0
0,0.2744718525790466,4.0
1,0.5659591989333282,3.0
0,0.05471975211468269,6.0
0,0.19808635914798042,6.0
0,0.239955401709361,6.0
1,0.5527478087924611,5.0
0,0.5283607116030506,3.0
0,0.27907705718768183,7.0
0,0.20047961349629018,2.0
0,0.2277456234845394,4.0
0,0.04707206487082868,1.0
1,0.055041119874709374,7.0
1,0.44812187291780486,7.0
1,0.4416753691063731,6.0
0,0.03375473474702629,7.0
1,0.21418872010873705,2.0
1,0.6598990436945927,4.0
1,0.5592183893838691,5.0
1,0.20659730567940082,3.0
1,0.4005222030220858,5.0
0,0.14155332761526562,1.0
0,0.08673102833372581,6.0
1,0.20722613823614686,4.0
1,0.8363317839887701,6.0
0,0.013491257095159368,6.0
0,0.35838691127520733,5.0
1,0.2532950914223504,5.0
0,0.03420721935783289,1.0
0,0.08336517629353121,7.0
0,0.07871137856178441,7.0
0,0.04056327709078187,5.0
0,0.026932619740403053,6.0
0,0.05644292973010763,7.0
0,0.5381513445321704,6.0
0,0.4018509171713941,6.0
0,0.4998514571332028,5.0
1,0.37476444094185,2.0
0,0.36894356632878106,5.0
0,0.1977317524748795,4.0
1,0.5980760234865481,2.0
0,0.1666518059743018,6.0
0,0.09575611385818182,4.0
0,0.182112697422752,3.0
1,0.18929989161954655,3.0
0,0.056923636323406586,3.0
0,0.0554947268887777,7.0
0,0.04708632631927933,4.0
1,0.4361100071118991,3.0
0,0.05901579061606434,3.0
0,0.0938908835372337,1.0
0,0.08167139915866393,2.0
0,0.126719255984875,7.0
0,0.09286507198455285,2.0
