,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,married,car_possesion,offspring
0,50.0,1.0,2,15.0,2,0,1.0,4.0,basic,3.0,5.0,1,4,executive,253905.0,1,1,0,0
1,56.0,0.0,1,14.0,0,0,1.0,4.0,standard,3.0,2.0,1,4,seniormanager,404475.0,0,3,1,0
2,,1.0,1,10.0,2,1,1.0,3.0,basic,3.0,4.0,0,4,executive,278145.0,1,2,0,0
3,37.0,1.0,2,18.0,1,1,1.0,3.0,standard,4.0,1.0,0,5,seniormanager,326805.0,0,3,1,0
4,48.0,0.0,3,17.0,1,1,1.0,3.0,basic,4.0,4.0,0,4,executive,258435.0,1,0,1,0
5,19.0,1.0,2,16.0,1,0,1.0,3.0,basic,3.0,2.0,0,4,executive,260000.0,0,0,0,0
6,47.0,0.0,3,14.0,1,0,1.0,3.0,superdeluxe,4.0,1.0,0,4,avp,453180.0,0,0,1,0
7,49.0,1.0,2,22.0,1,0,1.0,3.0,basic,3.0,2.0,0,4,executive,261900.0,0,2,0,0
8,33.0,0.0,2,20.0,2,1,1.0,3.0,basic,3.0,4.0,0,4,executive,247800.0,1,0,0,0
9,31.0,0.0,1,11.0,2,0,1.0,3.0,basic,3.0,2.0,0,3,seniormanager,257610.0,0,2,1,0
10,51.0,0.0,1,14.0,1,1,1.0,3.0,standard,3.0,4.0,0,3,seniormanager,351900.0,0,1,1,0
11,46.0,1.0,1,16.0,1,0,1.0,3.0,superdeluxe,4.0,6.0,0,3,avp,416430.0,0,3,1,0
12,49.0,0.0,1,32.0,1,1,1.0,3.0,superdeluxe,3.0,4.0,0,3,avp,477555.0,0,0,1,0
13,51.0,1.0,2,17.0,1,1,1.0,3.0,superdeluxe,4.0,5.0,0,4,avp,440000.0,0,2,1,0
14,53.0,0.0,2,14.0,1,1,1.0,3.0,basic,3.0,1.0,0,3,executive,300000.0,1,0,1,0
15,20.0,1.0,1,24.0,1,1,1.0,3.0,basic,3.0,2.0,0,4,executive,253665.0,1,0,1,0
16,25.0,0.0,2,23.0,1,0,1.0,3.0,basic,3.0,1.0,0,3,executive,258600.0,1,0,0,0
17,53.0,1.0,2,35.0,1,0,1.0,3.0,superdeluxe,3.0,4.0,0,3,avp,500000.0,1,1,1,0
18,20.0,0.0,2,7.0,1,1,1.0,3.0,standard,3.0,1.0,1,3,seniormanager,400000.0,0,2,0,0
19,44.0,0.0,2,5.0,1,0,1.0,3.0,superdeluxe,3.0,1.0,1,4,avp,286245.0,0,2,0,0
20,30.0,1.0,1,8.0,0,1,1.0,3.0,standard,3.0,2.0,0,3,seniormanager,455250.0,0,1,0,0
21,34.0,0.0,2,16.0,0,1,1.0,3.0,basic,3.0,2.0,0,4,executive,263715.0,0,3,1,0
22,29.0,0.0,1,8.0,0,1,1.0,3.0,basic,3.0,1.0,0,3,executive,262725.0,1,3,0,0
23,56.0,0.0,2,15.0,0,0,1.0,3.0,superdeluxe,3.0,1.0,0,3,avp,431265.0,0,2,1,0
24,30.0,1.0,2,16.0,0,0,1.0,3.0,basic,3.0,2.0,0,4,executive,250275.0,0,3,1,0
25,41.0,0.0,2,,0,0,1.0,3.0,deluxe,3.0,1.0,0,4,manager,303345.0,0,2,0,0
26,,1.0,1,,0,1,1.0,3.0,deluxe,3.0,1.0,0,4,manager,256845.0,0,0,1,0
27,50.0,0.0,1,14.0,0,1,1.0,3.0,standard,3.0,2.0,0,3,seniormanager,368940.0,0,1,1,0
28,52.0,1.0,1,17.0,0,1,1.0,3.0,superdeluxe,3.0,4.0,0,3,avp,456405.0,0,2,1,0
29,22.0,1.0,2,10.0,0,0,1.0,3.0,basic,3.0,1.0,0,4,executive,258885.0,1,0,0,0
30,36.0,0.0,2,15.0,0,1,1.0,3.0,deluxe,3.0,1.0,1,3,manager,316680.0,0,2,0,0
31,52.0,1.0,3,32.0,0,1,1.0,3.0,superdeluxe,3.0,2.0,1,5,avp,500000.0,0,3,1,0
32,46.0,0.0,3,8.0,0,0,1.0,3.0,standard,3.0,5.0,1,4,seniormanager,359730.0,0,1,1,0
33,30.0,0.0,2,15.0,0,1,1.0,3.0,standard,3.0,2.0,1,3,seniormanager,410000.0,0,2,0,0
34,28.0,1.0,1,9.0,0,1,1.0,3.0,basic,3.0,5.0,1,3,executive,270000.0,0,0,0,0
35,25.0,1.0,2,14.0,0,0,1.0,3.0,basic,3.0,2.0,1,4,executive,255405.0,1,0,1,0
36,51.0,0.0,1,26.0,1,1,1.0,4.0,superdeluxe,3.0,1.0,0,2,avp,485055.0,0,0,1,0
37,50.0,1.0,3,13.0,0,1,1.0,4.0,standard,4.0,5.0,0,1,seniormanager,370000.0,0,1,0,0
38,48.0,0.0,1,12.0,0,1,1.0,4.0,standard,3.0,2.0,0,1,seniormanager,401775.0,0,1,1,0
39,50.0,0.0,1,8.0,1,1,1.0,5.0,standard,3.0,4.0,0,3,seniormanager,477000.0,0,2,1,0
40,38.0,0.0,2,14.0,0,0,1.0,3.0,standard,3.0,1.0,0,2,seniormanager,378210.0,1,2,0,0
41,33.0,1.0,2,14.0,2,1,1.0,3.0,basic,3.0,2.0,0,2,executive,248490.0,1,0,1,0
42,42.0,0.0,2,10.0,0,0,1.0,3.0,deluxe,3.0,2.0,0,2,manager,268440.0,0,2,0,0
